test	permutation	random_gene_rate	observed_gene_rate
cold DEGs with >=1 cold candidate SNP in cis	163	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	164	0.262962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	165	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	166	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	167	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	168	0.255555555555556	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	169	0.274074074074074	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	170	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	171	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	172	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	173	0.255555555555556	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	174	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	175	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	176	0.188888888888889	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	177	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	178	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	179	0.266666666666667	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	180	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	181	0.262962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	182	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	183	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	184	0.27037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	185	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	186	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	187	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	188	0.196296296296296	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	189	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	190	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	191	0.181481481481482	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	192	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	193	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	194	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	195	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	196	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	197	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	198	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	199	0.255555555555556	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	200	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	201	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	202	0.262962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	203	0.266666666666667	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	204	0.2	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	205	0.177777777777778	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	206	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	207	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	208	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	209	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	210	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	211	0.185185185185185	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	212	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	213	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	214	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	215	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	216	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	217	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	218	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	219	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	220	0.188888888888889	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	221	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	222	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	223	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	224	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	225	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	226	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	227	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	228	0.188888888888889	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	229	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	230	0.259259259259259	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	231	0.255555555555556	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	232	0.2	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	233	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	234	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	235	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	236	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	237	0.233333333333333	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	238	0.17037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	239	0.266666666666667	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	240	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	241	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	242	0.27037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	243	0.277777777777778	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	244	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	245	0.255555555555556	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	246	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	247	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	248	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	249	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	250	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	251	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	252	0.2	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	253	0.233333333333333	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	254	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	255	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	256	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	257	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	258	0.166666666666667	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	259	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	260	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	261	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	262	0.188888888888889	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	263	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	264	0.233333333333333	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	265	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	266	0.196296296296296	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	267	0.2	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	268	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	269	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	270	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	271	0.196296296296296	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	272	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	273	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	274	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	275	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	276	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	277	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	278	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	279	0.188888888888889	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	280	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	281	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	282	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	283	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	284	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	285	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	286	0.185185185185185	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	287	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	288	0.2	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	289	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	290	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	291	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	292	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	293	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	294	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	295	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	296	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	297	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	298	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	299	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	300	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	301	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	302	0.274074074074074	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	303	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	304	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	305	0.255555555555556	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	306	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	307	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	308	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	309	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	310	0.181481481481482	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	311	0.159259259259259	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	312	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	313	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	314	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	315	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	316	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	317	0.27037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	318	0.262962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	319	0.233333333333333	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	320	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	321	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	322	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	323	0.181481481481482	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	324	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	325	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	326	0.185185185185185	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	327	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	328	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	329	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	330	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	331	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	332	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	333	0.233333333333333	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	334	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	335	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	336	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	337	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	338	0.303703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	339	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	340	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	341	0.211111111111111	0.262962962962963
